Title_Item,Price,Original Price,description,time_of_published,status
Donald j PLiner Boots,98.0,777.0,Donald j PLiner Leather Boots new never worn   Great pair of Boots you can wear with most anything 🥾,2022-01-07T11:31:27-08:00,available
Jones New York high heeled shoes,45.0,777.0,Jones New York heeled shoes new never worn really nice great for any time of the year,2021-08-04T12:04:43-07:00,sold_out
CONVERSE SHOES,40.0,777.0,CONVERSE SHOES  👞 NEW Never WORN  FIT A MAN ARE WOMEN THEY Are REALLY NICE 🇺🇸,2020-07-01T11:09:52-07:00,available
Rag & Bone combat boots,189.0,777.0,Rag & Bone combat boots Leather new never worn  has a little scuff on one side of the shoe but not noticeable  it says on the size 37 but I would say about a 8 1/2 ore nine  really nice looking Boots and made well  😊,2023-01-07T18:42:09-08:00,available
REEBOX MENS SHOES,60.0,777.0,REEBOK  SHOES NEW    NEVER WORN HAS A LOT Of CUSHION,2022-11-02T22:40:13-07:00,available
Coach sneakers,55.0,777.0,Coach sneakers new never worn just to try and very comfortable really stylish,2021-08-04T12:45:27-07:00,available
Coach 👠,49.0,0.0,Coach 👠 nice Condition used a few times but otherwise good shape,2020-05-26T17:24:11-07:00,available
Frye Boots,104.0,777.0,Frye Boots 🥾 used a fue times good condition very  nice the zipper works great and they are made to last a long time . They are leather.,2020-12-09T11:05:16-08:00,available
DOONEY & BOURKE PURCE,125.0,777.0,DOONEY & BOURKE PURCE new never used crossbody are shoulder two zippers in the front that works  great For all your  necessities,2022-08-05T22:41:25-07:00,available
Play boy bag,250.0,800.0,One of a kind it came from the play boy mansion 19inc with 15inc Deep  large bag can use for a overnight are Computer bag thanks for your interest,2020-02-17T17:02:54-08:00,available
PAIGE JEANS SKYLINE,63.0,777.0,PAIGE  SKYLINE JEANS  EXCELLENT CONDITION VERY  LITE WAITE HAS STRETCH.,2021-03-10T13:14:06-08:00,available
Kate ♠️ Spade Purce,80.0,0.0,Kate Spade ♠️  New Condition Never Used 7 inches in width 7 inches in length shoulder drop strap 20 inches beautiful bag,2020-06-03T14:45:27-07:00,available
M.C jeans,25.0,98.0,They are Michael Kors Jeans excellent used condition has a lot of stretch to them so they are comfortable still have a lot of life to them  taking offers❤️,2020-02-19T21:20:28-08:00,available
Marc By Marc Jacobs purce,225.0,999.0,Beautiful tan leather two way bag like new condition never used very light to Carrie great for spring or any time of the year,2020-05-15T22:32:18-07:00,available
Michael kors tote,199.0,777.0,Michael kors Large Canvas Leather tote Never Used  New Condition Really A Nice Bag Has One Zippier Compartment on  the inside plus Four Others 🇺🇸,2020-07-04T08:52:05-07:00,available
Nicole Lee Bag,99.0,110.0,Nicole Lee  USA Bag new Never used beautiful design has lots of compartment  10 inc across and ten deep plus’s shoulder strap witch is adjustable really unique bag lots of work to the bag comes with extra stones incase you loose one ❤️,2021-01-14T15:29:05-08:00,available
Michael kors Bag,198.0,777.0,Beautiful all leather like new condition the leather is very good no marks no tears all original great fall,2020-05-02T15:16:21-07:00,available
Michael kors Bag,250.0,777.0,Beautiful all leather Michael Kors large shoulder bag new condition never used no rips or tears are stains smells like new great for any time of the year lots of room,2020-06-17T13:50:56-07:00,available
Coach Leather Bag,159.0,777.0,Coach leather Two way Bag new Condition inside and out has  one zipper compartment on the inside plus a place for your cell phone and one other  never used comes with dust bag and the color is a kind of a orangey pinkish Red thanks for looking.,2020-08-20T22:19:13-07:00,available
Marc by Marc Jacobs Bag,175.0,777.0,Marc by Marc Jacobs Lamb and Leather Bag has drop strap are you can carry it beautiful color and so soft leather has been taken good care of,2020-11-28T10:42:09-08:00,available
Michael kors Bag,225.0,777.0,Michael kors large Leather Bag nice used condition no stains are smell very clean not used very much really nice .,2021-05-10T16:34:01-07:00,available
Dooney & Bourke,65.0,777.0,Dooney & Bourke  small Bag all Leather new Condition  big enough to carry small  items,2021-07-14T21:44:56-07:00,available
Coach Bag,49.0,300.0,Coach sling Bag  Leather Beautiful detail,2020-10-23T14:27:49-07:00,available
Michael Kors Purce,120.0,0.0,Beautiful Michael Kors never been used shoulder bag 9 inches in width by 7 inches long 22 inches shoulder drop magnetic closure three compartments in the bag great for any time of the year🦅,2020-06-03T14:58:06-07:00,available
Michael kors Bag,85.0,777.0,Michael kors Bag good used condition the inside of the bag is like new it has a zipper compartment plus another one a place for your phone the leather is in great shape except we’re I posted on the corners  and the studs on the bottom of the bag has some tarnish but not notable all along there is still a lot of life in this bag also has a hook for keys priced to sell.,2021-07-19T14:15:25-07:00,available
Michael kors  Bag,149.0,777.0,Michael kors Beautiful Bag really pretty color for summer or any time of the year excellent condition has side pockets one zipper compartment  Plusfor other small compartments⭐️⭐️⭐️⭐️,2020-06-14T12:49:45-07:00,available
Michael kors Bag,249.0,1000.0,Michael kors Beautiful Leather Bag  New Never used it has four compartment on the inside and one in the front and one in the back they are snap closers really a nice bag no one has ever used it it’s Beautiful is side and out💋,2020-07-22T01:20:46-07:00,available
Dooney and Brouke,98.0,777.0,Beautiful Dooney & Bourke Large Bag Comes With Two Wallet  Never Been used has A Zipper. Compartment on the Back And One Inside Plus a Place For Your Phone Nice Large Bag ❤️,2020-04-01T13:20:23-07:00,available
Marc Jacobs Leather Bag,198.0,777.0,Marc Jacobs Leather quilted Hand Bag used condition but still Beautiful has some ware on the handle  the inside is clean  and it’s large the zipper works great and no smell the bag has been put away  you can still get a lot of use out of this Marc Jacobs thanks for looking .,2020-12-14T22:34:53-08:00,available
Marc by Marc Jacobs  Leather Bag,98.0,777.0,Marc by Marc Jacobs Leather Bag really a nice bag has a little ware on the corner witch you can’t tell but I wanted to point that out and a little Scuf on the zipper pull witch I pointed out not noticeable nine and one half across seven inches deep shoulder strap drop twenty two inc  beautiful calf Leather really a nice bag has large front pocket thanks for looking ☮️,2021-01-17T09:05:18-08:00,available
Coach Bag,190.0,777.0,Coach Bag beautiful leather has satin lined has three compartment on the enside nice used bag but looks new on the inside ther is no rips or stains on the leather nice bag,2021-04-29T14:21:34-07:00,available
Coach Bag,120.0,168.0,Coach Leather small Bag new has one compartment on the inside and another one on the front of the Bag witch is big enough for your cell phone it’s really nice .,2021-06-07T11:15:38-07:00,available
Kate Spade  purce,25.0,777.0,Kate Spade little purce nice and shiny great for your credit cards and other small things the color is really pretty . New.,2023-03-23T08:27:26-07:00,available
Michael kors beautiful Dress,55.0,250.0,Nice like new never wore,2020-03-04T18:14:34-08:00,available
Michael kors Dress,65.0,777.0,Michael kors Dress new never been worn has a lot of Stritch to the Dress very comfortable has two zippers on the bottom of the dress and two zippers on the shoulder very cute and unique🦅🦅🤘,2020-06-18T22:46:25-07:00,available
Michael kors Dress,75.0,99.0,Michael kors Dress New really nice it has stretch and very contrable great for a night out on the town,2021-09-28T20:16:12-07:00,available
Zara Dress,85.0,777.0,Zara Form fitted dress this showes off your shape really cute and the color is so pretty  and it’s new has lots of spandex in the material  .,2023-03-16T14:15:49-07:00,available
Romeo  & Juliet Dress,35.0,0.0,Romeo & Juliet Dress new Condition,2020-07-23T07:46:18-07:00,available
DR 2 Dress,50.0,777.0,This is beautiful you can wear as a dress or with pants or leggings it’s higher in  the front then the back has splits on the side nice looking new condition never worn❤️,2020-03-29T11:12:56-07:00,available
DA V I N C I  GOWN,350.0,777.0,Beautiful new DA. VINCI  DRESS you can wear it strapless are with out  designers💋,2022-06-10T00:33:57-07:00,available
EVOVORRO DRESS,75.0,777.0,EVOVORRO   DRESS really comfortable Nice for any time of the year🌹🌹🌹🌹🌹,2020-04-18T12:31:46-07:00,available
Haute  monde set,65.0,777.0,Haute monde  two piece skirt and top  really cute has a adjustable strap and a padded bra for the top. It has snaps on the skirt. It is in great used condition no rips or stains 💥💥💥💥,2023-04-01T10:44:17-07:00,available
H&M’s Dress,59.0,777.0,Beautiful H&M’s dress very unique so different it’s very light the material never been worn💋,2020-06-18T23:05:39-07:00,available
Liberty Love Dress,50.0,777.0,Beautiful liberty love dress beautiful colors ready for spring grab this one never worn❤️,2020-03-29T10:11:50-07:00,available
NINA DRESS From Paris,45.0,777.0,Beautiful sexy dress from Paris cut out around the waist and the sleeves and the bottom great condition just been hanging in my closet hardly worn❤️❤️❤️❤️,2020-04-18T12:00:38-07:00,available
Dress,29.0,0.0,Beautiful colors in this dress never worn ❤️,2020-03-01T12:45:17-08:00,available
HALOGEN DRESS,59.0,118.0,HALOGEN BEAUTIFUL DRESS NEW THE   MATERIAL IS  REALLY SOFT ON YOUR SKIN REALLY DRESSY.,2020-07-07T23:24:49-07:00,available
Love Fire Dress,25.0,0.0,Love Fire Dress wore it once like new condition ❤️,2020-04-13T17:26:45-07:00,available
Bebe Dress,55.0,777.0,Bebe Dress new condition just been hanging in my closet beautiful mini dress very comfortable,2020-11-09T12:19:54-08:00,available
Bongo Dress,45.0,0.0,This dress is so nice I have never worn it it’s just been hanging in my closet trying to down size .it has spandex and very comfortable❤️,2020-03-16T11:24:37-07:00,available
Artelier beautiful Dress,55.0,999.0,This dress is so comfortable to wear shows your shape off great for spring 😊,2020-03-08T17:29:47-07:00,available
Dress,35.0,0.0,Nice print dress like new  great for everyday wear,2020-03-01T11:41:06-08:00,available
MODA INTL  DRESS,35.0,777.0,MODA DRESS nice for the holidays backless very contrable used condition  but no flaws,2020-12-17T11:26:15-08:00,available
Mi  Manch Dress,35.0,0.0,Mi manch Dress good condition no stains no whip vintage dress,2020-10-24T12:50:42-07:00,available
FRENZE DRESS,99.0,777.0,FRENZE DRESS BEAUTIFUL AND SEXIE VERY SHEER HAS  A BRAW FOR SUPPORT  AND   PRETTY  LACE DESIGN,2020-10-15T11:30:18-07:00,available
Dress,65.0,195.0,Beautiful pink dress new never worn great party dress are casual ❤️,2020-03-04T18:01:45-08:00,available
OSOS Dress,49.0,777.0,OSOS DRESS New Never Worn Has Stretch Really Contrable to Wear Really Cute,2020-06-24T11:44:03-07:00,available
EXPO Dress,55.0,999.0,It’s one of a kind beautiful stones around the neck and has a side zipper  very comfortable❤️,2020-03-16T12:52:46-07:00,available
MSK Dress,50.0,999.0,Beautiful has glitter all over the Dress the sleeves are very pretty And it stretches💕,2020-03-16T12:32:00-07:00,available
Little Black Sequin dress,25.0,0.0,This little dress comes with no tag very old vintage in excellent shape no tears or rips all the sequins are their beautiful dress❤️❤️❤️❤️❤️❤️,2020-04-20T12:54:54-07:00,available
This Beautiful Dress Xhilaration,35.0,0.0,Never worn new condition,2020-04-20T13:50:04-07:00,available
Zara Dress,55.0,777.0,Zara Dress new Condition has a split on the back has lots of stretch on the top has zipper on the side  nice dress can wear off the shoulder 💋,2020-07-23T18:53:17-07:00,available
LiGALi Dress,89.0,777.0,LiGALi Dress has tag never worn it has a lot of stretch and moves with your body Beautiful design with stones and mesh sleeves thanks for looking .,2020-10-24T13:14:32-07:00,available
Say What Dress,25.0,0.0,Say What Dress Beautiful Indian design really comfortable❤️,2020-04-02T18:51:02-07:00,available
Flutter & squeak Dress,78.0,777.0,Flutter & squeak Dress never worn new condition really cute with large pockets on the side and the sleeves are gathered it’s different thanks for looking 👀,2020-09-01T23:06:56-07:00,available
Zara Dress,75.0,777.0,Zara Dress Beautiful New never worn lace sleeves and top has back zipper so soft on your skin great for the holidays very dressy.,2020-11-24T22:03:14-08:00,available
Cynthia Rowley Dress,78.0,777.0,Cynthia Rowley Dress never worn really nice for the winter  and very stylish,2020-11-24T21:47:46-08:00,available
Chaudry k c Skirt,45.0,777.0,Chaudry Skirt very full great for fall has side zipper very contrable made in India 🇮🇳,2020-09-07T13:00:03-07:00,available
Inazik skirt,25.0,777.0,Inazik skirt good used condition no flaws,2022-05-18T13:28:04-07:00,available
White House  Black Market Sequin skirt,60.0,777.0,This is a brand new White House Black market sequin skirt very beautiful new never worn great for the holidays thanks for looking,2021-11-18T11:05:14-08:00,available
No name skirt,25.0,0.0,Beautiful skirt witch has no name are size it has a lot of stretch to the waist in excellent condition never worn beautiful  design .it feels like Chiffon are satin,2020-11-12T07:45:04-08:00,available
Roommates Skirt,65.0,0.0,Beautiful sequin design on the front of the skirt hi low like new condition never worn.,2020-03-19T22:31:14-07:00,available
Sarah  Arizona Skirt,65.0,999.0,This skirt is really unique by the way it is made its beautiful ❤️,2020-03-19T22:13:49-07:00,available
F A N C  SKIRT,95.0,777.0,F A N C  S K I R T  Beautiful  work has side  zipper really a eye 👁 catcher can be worn anytime of the year new Condition has not been used thanks for looking.,2020-09-07T12:47:23-07:00,available
Newportnews Leather skirt,99.0,777.0,Newportnews Leather Skirt new Condition only worn a fue times great for the fall are winter .,2020-09-07T12:18:53-07:00,available
Denim BLVD SKIRT,25.0,777.0,DENIM B LVD LEVIE  SKIRT good used condition,2021-10-03T13:34:58-07:00,available
Forever 21 skirt,25.0,75.0,Forever21 skirt nice used condition really cute,2021-02-19T14:23:21-08:00,available
"Chadwick,s Skirt",78.0,777.0,"Chadwick,sSkirt new never worn Beautiful Colors goes with anything.",2020-09-07T13:32:11-07:00,available
Chico’s Suede and leather skirts,85.0,777.0,Chicos suede and leather skirt new condition beautiful with studs really a  eye cachet  great for the fall,2020-08-22T10:30:13-07:00,available
American Eagle Skirt,30.0,777.0,American Eagle  skirt good used condition only been worn a fue times,2021-08-29T14:52:59-07:00,available
American Eagle 🦅 outfitters skirt,30.0,777.0,American Eagle 🦅 outfitters skirt nice used condition,2021-02-19T14:34:57-08:00,available
Cupid Skirt,75.0,777.0,Cupid Skirt new Condition has sequins through the skirt Beautiful .,2020-10-24T22:29:50-07:00,available
Tina Haven Black sequined skirt,55.0,0.0,This skirt is in new condition never worn has a zipper on the side Beautiful🌹,2020-03-16T11:13:11-07:00,available
ANNVA SKIRT,69.0,777.0,ANNVA SKIRT Beautiful Soft Material has Back Zipper  so Shiny Vintage great condition like new.,2020-10-24T22:42:28-07:00,available
For the REPUBLIC Skirt,65.0,777.0,For The Republic skirt  like new condition very nice,2020-09-02T13:22:11-07:00,available
D I M R I SKIRT,60.0,0.0,D I M R I S K I R T  V I N T A G E has rhinestones around the waist really good shape hardly worn just been hanging in my closet,2020-10-24T13:01:38-07:00,available
Leather skirt,65.0,777.0,Nordstrom Leather Skirt Really Soft  and Nice lining zips up the back great for this time of year 👍,2021-10-08T22:00:43-07:00,available
Forever 21 skirt,15.0,0.0,Forever 21 skirt good used condition,2021-02-25T22:38:11-08:00,available
Wet Seal Skirt,125.0,777.0,Wet Seal skirt made in India Beautiful Bead work new Condition never worn thanks for looking 👀,2020-09-02T13:09:18-07:00,available
URBAN Outfitters Skirt,55.0,69.0,URBAN Outfitters Skirt new never used snake 🐍 skin print  really cute great to wear with leggings,2021-09-29T13:02:28-07:00,available
India Skirt,75.0,777.0,India skirt Beautiful vintage excellent condition free size,2021-01-17T12:14:19-08:00,available
t bags Los Angeles skirt,75.0,777.0,t bags Los Angeles skirt new condition with studs on both sids  and a split in the back very contrable has a lot of stretch thanks for looking 👀,2020-09-02T18:02:13-07:00,available
element skirt,20.0,777.0,element Skirt good used condition really cute and nice for this time of the year has studs and back zipper with a slit in the back .,2021-04-11T12:05:06-07:00,available
Max’s studio special Edition Skirt,45.0,777.0,Max studio special Edition vintage new condition pure silk Beautiful,2021-01-17T12:24:55-08:00,available
CoLLections JS,80.0,999.0,Beautiful suit designers  it has a split on the side of the skirt see thrue sleeves  Beautiful material one of a kind it’s all lined don’t miss out on this one,2020-03-16T12:13:41-07:00,available
Michael kors Blouse,35.0,69.0,Michael kors Blouse new still has tag it has stretch and really cute👌,2021-04-15T13:22:15-07:00,available
RaLph LauRen Skirt,75.0,777.0,Lauren Ralph Lauren silk  skirt new Condition never worn great colors fall are summer 😊,2020-09-02T12:58:00-07:00,available
Banana Republic Dress,65.0,777.0,Banana Republic Dress New condition really cute only worn a fue times true to size .,2021-05-28T13:02:25-07:00,available
American Eagle 🦅 Skirt,15.0,65.0,American Eagle 🦅 Skirt good used condition no flaws,2021-10-08T21:52:21-07:00,available
TED BAKER,75.0,777.0,TED BAKER DRESS All the front is done in sequence very pretty And comfortable,2020-10-24T23:17:04-07:00,available
Gap  Dress,35.0,777.0,Gap Dress 👗 green floral color great used condition only worn once really 🥰 cute,2022-06-22T22:27:28-07:00,available
"ALTAR,D STATE DRESS",59.0,777.0,"ALTAR,D STATE DRESS NEW NEVER WORN BEAUTIFUL AND SHEER 👍",2020-07-14T20:36:43-07:00,available
Auangar shirt,75.0,777.0,Beautiful long sleeve shirt with beaded beads and beautiful design all over the shirt very comfortable it has some stretch to it,2020-03-29T10:28:38-07:00,available
Copelli SANDLES,20.0,777.0,Copelli SANDLES  never worn  but has a little flaw on the strap  witch I pointed out,2021-06-16T14:54:03-07:00,available
Jeweled Vintage Chico  bag,99.0,777.0,Very Beautiful  jeweled  Bag all the stones are there the bag is like new has fringes tassel  beautiful satin lined teas string for closure  great for a night out you will get lots of stares 😊,2021-11-18T15:59:52-08:00,available
Miss me jeans,125.0,777.0,Miss me jeans new condition beautiful design sequins and rhinestones really sparkly easy Boot cut these jeans will make a statement so cute.,2021-03-28T00:11:36-07:00,available
Sam Edelman Shoes,75.0,777.0,Sam Edelman Shoes never worn only just to try on really cute great pair of sandals 👡,2021-06-16T14:45:11-07:00,available
Massimo wedgies,40.0,777.0,Massimo wedges new never worn very cute and stylish,2021-08-04T12:21:00-07:00,available
Vince camuto SANDLES,68.0,777.0,Vince camuto SANDLES new never worn comes with box they lace up your leg real cute,2021-09-19T10:06:13-07:00,available
ED HARDY  SHOES,75.0,777.0,ED HARDY SHOES  NEW  CONDITION ONLY WORN AROUND THE HOUSE  A FUE TIMES REALLY CUTE AND CONTRABLE  😊❤️,2023-01-17T07:49:31-08:00,sold_out
Wool Bennie,35.0,777.0,"Wool Bennie really cute and keeps your head warm there is a name for this hat but I can think about it right at this moment  nice used condition 
It picks up lint on the inside  I guess because it’s wool  thanks for looking 😊",2023-01-17T08:15:36-08:00,available
Harry Potter Bennie,25.0,777.0,Harry Potter Beanie new without tags  really cute,2021-02-08T11:20:41-08:00,available
Angora fur benni,75.0,777.0,Rabbit and Angora fur Bennie  like new really soft and comfortable to wear like new,2021-12-27T11:33:51-08:00,available
COPY - Bebe Blouse,20.0,777.0,Bebe Blouse new never worn feels like satin beautiful the belt to the blouse has separated I don’t know if it came that way are what this  does not effect the belt just wanted to point this out thank you 😊,2023-04-12T10:17:52-07:00,available
ST. JOHN’ S BAY LEATHER BOOTS,50.0,777.0,"ST,JOHNS BAY LEATHER BOOTS NEW NEVER WORN  VERY CONTRABLE HAS STRETCH AROUND THE TOP ❤️",2020-07-12T13:12:19-07:00,available
ITALINA SANDLES,40.0,777.0,ITALINA  sandals NEW Never Worn has pearls and rhinestones and Lace And they Are comfortable really cute,2020-07-09T11:34:20-07:00,available
Blossom shoes,45.0,777.0,Blossom shoes only worn once condition very comfortable really an eyecatcher,2020-07-09T16:28:22-07:00,available
TOMS SHOES,40.0,777.0,TOMS SHOES 👠 NEW NEVER  WORN BEAUTIFUL THEY SHINE ❤️,2020-07-09T11:43:40-07:00,available
MOSSIMO SHOES,49.0,777.0,MOSSIMO SHOES 👞 NEW Never WORN really comfortable have beautiful detail👍,2020-07-09T11:55:58-07:00,available
ITALIAN SHOES,75.0,777.0,ITALIAN SHOES 👠 MAKERS NEW NEVER WORN BEAUTIFUL RED THEY LOOK  LIKE SATIN,2021-04-14T15:48:18-07:00,available
Womens Laredo boots,65.0,50.0,"Reposhing this item I purchased from @shawndabbays. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-08-26T15:04:48-07:00,available
Columbia Boots,73.0,777.0,Columbia Boots like new Condition suede leatheronly worn a few times sooo contrable.,2022-08-17T11:01:09-07:00,available
UGG Australia Rainier 5189 LIMITED EDITION Beaded,98.0,777.0,Reposhing this item I purchased from @aminabenzarti. Loved them but the wrong size for me they are a great pair of boots 🥾 will keep your feet warm  .,2022-12-09T15:24:54-08:00,available
Bebe shoes,65.0,777.0,Bebe  shoes worn once  to high for me like new,2021-03-18T00:02:01-07:00,available
"Naughty Monkey gold leather shoes, 8m",45.0,65.0,"Reposhing this item I purchased from @divine_byrdie. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-08-06T10:07:39-07:00,available
Saladore ferragamo shoes,65.0,777.0,Salvador ferragamo shoes good used condition they say 8 but they fit more like a 61/half to seven very narrow for small feet thanks for looking.,2021-01-22T17:09:25-08:00,available
BrikenStock Arizona Bs Women Sandals,55.0,140.0,"Reposhing this item I purchased from @esat. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!Brand new but to small for my grand daughter  and does not come with box .",2021-12-18T10:37:27-08:00,available
Vince Camuto Signature 👢,169.0,1000.0,Vince Camuto Beautiful New Boots never worn still in Box Size runs small but they are a size7/m34 but will fit 6 all Leather,2020-06-18T07:56:34-07:00,available
Rauren  Ralph Lauren sweater,55.0,777.0,Ralph Lauren Sweater  beautiful used condition  it’s really a eye catcher  so soft and contrable  you can wear with jeans or skirt  duo cute,2021-11-18T12:27:25-08:00,available
J CREW SKIRT,39.0,777.0,J CREW SKIRT Like new shape,2021-02-25T22:30:54-08:00,available
J Crew top,40.0,0.0,J Crew Shirt like new  beaded work on the front of the top very stretchy and comfortable❤️,2020-04-08T18:38:41-07:00,available
Atouchofstyle bag,55.0,180.0,New never been used beautiful stud and rhinestones is the bag and Handel it’s really a eye cachet cross body are shoulder❤️,2020-02-21T14:05:59-08:00,available
Leather crossbody Bag vintage,175.0,777.0,Leather crossbody Bag vintage new never used Beautiful colors  great for this time of the year  are for a Christmas gift 💝 gift 🎁,2022-11-02T12:59:10-07:00,available
Tommy HiLFIGER Bag,40.0,777.0,TOMMY HILFIGER  BAG WITH Ajustable  strap new condition great for every day wear very lite Waite really nice 👍,2022-10-20T23:33:12-07:00,available
Kathy purce,98.0,777.0,Kathy purce new never used Beautiful has two zipper  on the side of the bag plus a small compartment in the front one zipper inside plus a small compartment also small but will carry all your idems great for you are a Christmas gift 🎁,2022-10-20T13:43:38-07:00,available
Max Mayer clutch  bag,85.0,200.0,Max Mayer clutch bag very unique has  rhinestones and small beards nice for evening ware  you can wear on your shoulder are carry it 👍,2021-01-06T22:19:40-08:00,available
Phone Bag,23.0,65.0,Phone Bag  this is really nice to carry your phone in  this is in new condition,2021-12-10T12:32:16-08:00,available
Donald j Pliner purce,319.0,777.0,Donald j pliner purce  new Condition only used a fue times beautiful large tote bag satin lining will hold everything draw string closer with magnetic snap pattern leather with leather strap must have bag 💼,2021-03-17T11:39:30-07:00,available
Motif 56  Rock Bag,325.0,777.0,Motif 56 shoulder bag new never used it was made in morocco find flexible leather taned with Samar goat skin  Rock Bag it’s Beautiful 😻 got to have this one .,2021-12-05T11:41:27-08:00,available
Louis Vuitton  Paris Wallet,150.0,600.0,"Reposhing this item I purchased from @namastetrini. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-10-06T10:57:50-07:00,available
Roxberry Snake skin and Leather Bag,298.0,777.0,Roxberry Snake Skin And Leather  Bag New without tags  very elegant if you want to make a statement this is the Bag it comes with two straps 12 inc deep and 15 inc across an the strap is Adjustable the way it is now is 16 1/2 inches long plus you have your handles you can either carry it or use it for a cross body very shiny and beautiful Louis Vuitton makes this bag high quality.,2020-12-10T08:27:40-08:00,available
Vince Camino Beautiful Bag,225.0,1000.0,Vince Camuto  Leather shoulder bag beautiful has a lot of zippers and compartments in the bag brand new never used don’t miss out on this one❤️,2020-03-07T13:05:02-08:00,available
American Eagle 🦅 Skirt,23.0,777.0,American Eagle 🦅 Skirt Good Used Condition Super Cute,2021-10-08T22:15:51-07:00,sold_out
Bebe Blouse,36.0,777.0,Bebe Blouse new never worn feels like satin beautiful 😻 great for the holidays,2021-11-18T12:07:34-08:00,sold_out
L.A. IDOL Jeans,55.0,125.0,L .A IDOL Jeans good used condition very contrable  all the studs are there really nice looking.,2021-10-08T21:41:27-07:00,available
Aldo Bag,73.0,777.0,Aldo Bag in good condition no rips are stains no smell the inside and outside are great snap closer zipper is excellent lots of room for all your necessities,2020-07-26T01:13:25-07:00,available
Bebe crossbody purce,50.0,69.0,bebe crossbody new never used small but will hold your cell phone and other items really cute,2022-06-02T12:17:54-07:00,available
B C B G Generation Bag,250.0,777.0,BCBG Leather And Snake 🐍 Skin Bag  Beautiful has a lot of room has two zipper compartment it’s hardly been used like new inside and out .,2021-02-26T15:01:15-08:00,available
Chloe hand bag,250.0,777.0,Chloe hand bag new  missing the lock  beautiful leather and color olive green very soft leather it has three compartment for your items   No one has ever used this it stays shut without the lock it got lost some were but still a beautiful bag   Thanks for looking,2021-08-15T12:58:33-07:00,available
Michael kors Bag,78.0,777.0,Michael kors Bag new Condition Leather trim  beautiful soft bag 💼,2021-01-22T11:59:14-08:00,available
N.y.C bag,45.0,0.0,N.y.C nice bag don’t know if it’s leather but it smells like it has one zipper compartment on the in side and two other and the back has a zipper compartment also  it’s in excellent condition .❤️,2020-02-22T11:46:56-08:00,available
Kipling Bag,63.0,777.0,Kipling Shoulder Bag new Condition never used has adjustable straps front zipper pocket very nice bag very soft  small but with fit a lot because of the two compartment,2021-02-19T15:18:00-08:00,available
L’ incontro Leather Bag,199.0,777.0,L’incontro Leather Bag so soft it was made in Italy 🇮🇹 Beautiful New Condition has to straps and you can wear with any outfit shoulder are carry it’s a midsize bag that will carry your items  thanks for looking.,2021-04-08T12:23:22-07:00,available
Bag,30.0,777.0,Bag great for your phone and credit cards 💳 used but in great condition has a small mark on the front of the bag but not noticeable  I can’t tell for sure if this is Atlantic because it don’t have the Logo inside but I just wanted to point this out   Thanks for looking.,2021-12-10T12:46:00-08:00,available
Michael kors Bag,89.0,777.0,Michael kors Canvas leather tote bag large never been used excellent new condition lots of room in this beautiful bag,2020-06-17T14:11:33-07:00,available
Cute saddle leather hand bag,120.0,0.0,"Reposhing this item I purchased from @gtlcloset. Loved it, but ready to rotate for something new.

Questions? Leave a comment below!",2021-08-15T08:25:16-07:00,available
The sack Leather Bag,98.0,777.0,The sack Leather Bag new never used has a lot of compartment  good sturdy Bag will hold a lot thanks for looking,2021-09-21T21:57:49-07:00,available
Travelon Bag,49.0,777.0,Travelon belt are crossbody suede bag has lots of compartments new condition never used really great and lightweight for all of you essentials,2021-12-10T11:33:25-08:00,available
Original Paris Design wallet,20.0,777.0,Original Paris Design wallet it has a small coin purse in side of the other one,2021-08-26T22:30:58-07:00,available
Betsey Johnson shoulder bag,35.0,777.0,Betsey Johnson shoulder bag new condition never used has one zipper compartment big enough to hold your things really cute and lightweight,2021-08-15T10:38:38-07:00,available
galanya Bag,115.0,698.0,galanya Bag patten leather with sequence on the front plus gold hard wear and chain new never used the value of the bag is 698.00 has back zipper for phone plus 4 compartment on the inside this Bag is Beautiful the picture don’t do this bag justice,2020-10-23T14:06:58-07:00,available
Longaberger purce and wallet,95.0,777.0,Longaberger small purce with matching wallet really cute never used will hold the wallet and your other small items thanks for looking,2021-05-24T11:40:54-07:00,available
K .Jordan Dress,75.0,150.0,Beautiful all fringe all over the dress never worn got it for New Year’s Eve but was sick  and I no longer need it new .so sexy❤️,2020-03-01T10:57:56-08:00,available
"Herman,s Hermits tee",125.0,777.0,"Herman,s Hermits vintage tee shirt signed  good condition for being vintage this is a great collectors item this can be used for a man also thank you .😊",2022-12-28T22:08:09-08:00,available
BYLINE Blouse,58.0,777.0,BYLINE Blouse 👚 Beautiful Detail  very pretty  all the stones are there  great for the holidays,2020-12-17T11:50:13-08:00,available
Maurices shirt.,35.0,777.0,Really cute and new never worn😊,2022-09-30T16:47:48-07:00,available
Harley Davidson top,65.0,777.0,Hardly Davidson Top great condition vintage,2020-10-23T22:54:10-07:00,available
lululemon Braw,40.0,777.0,lululemon Braw  good used condition,2021-09-21T20:23:52-07:00,available
Jennifer Lopez  sweater,65.0,77.0,Jennifer Lopez Sweater beautiful new so shiny and soft,2020-10-24T22:50:36-07:00,available
