Title_Item,Price,Original Price,description,time_of_published,status
Signature shorts,30.0,777.0,Signature shorts in good used condition a fue of the buttons have some scratches on them but other then that  really good shape,2021-04-15T13:43:16-07:00,available
VIP JEANS Shorts,30.0,777.0,VIP jeans shorts new never worn really cute 🥰,2022-07-29T16:14:50-07:00,available
Massimo boyfriend shorts,30.0,777.0,Massimo boy friend short very good used condition like new thanks for looking,2021-07-12T11:40:13-07:00,available
Pacsun shorts,30.0,777.0,Pacsun super stretch shortie shorts nice used condition really contrable .,2022-05-18T13:08:17-07:00,available
daytrip shorts,25.0,777.0,daytrip shorts nice used condition they stretch,2021-08-18T22:42:33-07:00,available
daytrip Shorts,30.0,777.0,daytrip Shorts good used condition really cute  there is nothing wrong with them   They have stretch,2022-04-07T12:15:29-07:00,available
Litz shorts,31.0,777.0,Litz shorts new nice pair of shorts,2021-04-29T14:42:11-07:00,available
Calvin Klein performance pants,30.0,75.0,Calvin Klein performance Athletic pants great shape,2021-03-02T21:44:04-08:00,available
Aeropostale shorts,26.0,777.0,Aeropostale shorts shorts good used  condition very cute,2021-04-28T14:53:08-07:00,available
BU.LL HEAD SHORTS,30.0,85.0,BU. LL HEAD SHORTS GREAT USED CONDITION TRUE TO SIZE REALLY CUTE .,2021-07-12T11:47:09-07:00,available
Free People shorts,38.0,777.0,Free People shorts good used condition,2021-06-02T12:38:11-07:00,available
Massimo  denim short short shorts,50.0,777.0,Massimo denim short short shorts  high Rise really good used condition great for summer,2021-04-15T13:56:34-07:00,available
MISS ME  SHORTS,60.0,777.0,MISS ME SHORTS REALLY GOOD CONDITION HAS ALL THE STONES NO RIPS    REALLY CUTE,2021-03-26T16:25:12-07:00,available
Levis Strauss &co,40.0,777.0,Levis Strauss  jeans shorts new condition,2021-04-05T19:44:34-07:00,available
MISS ME  MID-SHORT SHORTS,65.0,777.0,MISS ME MID-SHORT JEANS NEW NEVER WORN REALLY CUTE 🤗,2021-09-11T20:34:57-07:00,available
SHEIN SHORTS,25.0,777.0,SHEIN SHORTS  GOOD USED CONDITION TRUE TO SIZE,2021-06-16T15:33:00-07:00,available
American rag shorts,27.0,777.0,American  Rag shorts excellent used condition they have stretch and are very comfortable.,2021-10-03T13:04:32-07:00,available
